player,position,team,age,club,birth_year,description,image
Karim Boudiaf,MF,Qatar,32,Al Duhail SC,1990,Karim Boudiaf is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.,"https://digitalhub.fifa.com/transform/9f10d90d-48e2-4903-8413-2d2bef8c00c3/Qatar-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Karl Toko Ekambi,FW,Cameroon,30,Lyon,1992,Karl Toko Ekambi is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,"https://digitalhub.fifa.com/transform/6cfab7ec-3542-4df9-a02e-dc26923cbc6b/1443093953?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Karol Świderski,FW,Poland,25,Charlotte,1997,Karol Świderski is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,
Kasper Dolberg,FW,Denmark,25,Sevilla,1997,Kasper Dolberg is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,
Kasper Schmeichel,GK,Denmark,36,Nice,1986,Kasper Schmeichel is a goalkeeper known for his shot-stopping abilities and commanding presence in the penalty area. He plays a crucial role in organizing his team's defense.,
Keanu Baccus,MF,Australia,24,St Mirren,1998,Keanu Baccus is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.,"https://digitalhub.fifa.com/transform/acb6b0d9-626b-414d-a679-7696cd6e9ec2/Australia-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Kellyn Acosta,MF,United States,27,Los Angeles FC,1995,Kellyn Acosta is a midfielder known for his passing accuracy and defensive contributions. He provides stability to the midfield and contributes to both defense and counter-attacks.,
Kendall Waston,DF,Costa Rica,34,Deportivo Saprissa,1988,Kendall Waston is a central defender known for his defensive attributes and aerial dominance. He provides solidity to the backline and contributes to set-piece situations.,
Kenneth Taylor,MF,Netherlands,20,Ajax,2002,Kenneth Taylor is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.,"https://digitalhub.fifa.com/transform/78a78ce0-0921-44d9-8a62-18c823bc9e72/1442169429?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Kevin De Bruyne,MF,Belgium,31,Manchester City,1991,"Kevin De Bruyne is a midfielder known for his passing accuracy, playmaking abilities, and goal-scoring prowess. He contributes to ball circulation, creating scoring opportunities, and delivering precise set pieces.","https://digitalhub.fifa.com/transform/4ea8805b-e75b-4bf7-8d1c-1f5b3fa5d9b0/1442830273?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Kevin Rodríguez,FW,Ecuador,22,,2000,Kevin Rodríguez is a versatile player known for his adaptability in different positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,
Kevin Álvarez,DF,Mexico,23,Pachuca,1999,Kevin Álvarez is a versatile player known for his adaptability in different positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,
Keylor Navas,GK,Costa Rica,36,Paris S-G,1986,Keylor Navas is a goalkeeper known for his exceptional shot-stopping abilities and experience. He plays a crucial role in organizing his team's defense and is a key leader on the field.,"https://digitalhub.fifa.com/transform/04860ffa-901b-4e45-80f6-4da477abba59/1442775085?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Keysher Fuller,DF,Costa Rica,28,Club Sport Herediano,1994,"Keysher Fuller is a defender known for his defensive attributes and versatility. He can play in various defensive positions, contributing to his team's stability.",
Kieffer Moore,FW,Wales,30,Bournemouth,1992,"Kieffer Moore is a forward known for his aerial dominance, physical presence, and goal-scoring abilities. He contributes to his team's offensive movements and set-piece situations.",
Kieran Trippier,DF,England,32,Newcastle Utd,1990,"Kieran Trippier is a right-back known for his defensive skills and precise crossing ability. He contributes to both defense and attack, making him a valuable asset on the flanks.","https://digitalhub.fifa.com/transform/cb9f33c7-8779-4060-9040-5244dbc3c981/1441945154?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Kim Jin-su,DF,Korea Republic,30,Jeonbuk,1992,"Kim Jin-su is a left-back known for his defensive skills and overlapping runs. He contributes to both defense and attack, making him a valuable asset on the flanks.",
Kim Min-jae,DF,Korea Republic,26,Napoli,1996,Kim Min-jae is a central defender known for his defensive attributes and aerial dominance. He provides solidity to the backline and contributes to set-piece situations.,
Kim Moonhwan,DF,Korea Republic,27,Jeonbuk,1995,"Kim Moonhwan is a right-back known for his defensive skills and overlapping runs. He contributes to both defense and attack, making him a valuable asset on the flanks.",
Kim Seung-gyu,GK,Korea Republic,32,Al-Shabab,1990,Kim Seung-gyu is a goalkeeper known for his shot-stopping abilities and commanding presence in the penalty area. He plays a crucial role in organizing his team's defense.,
Kim Young-gwon,DF,Korea Republic,32,Ulsan Hyundai,1990,Kim Young-gwon is a central defender known for his defensive attributes and leadership qualities. He provides solidity to the backline and contributes to set-piece situations.,
Kingsley Coman,FW,France,26,Bayern Munich,1996,"Kingsley Coman is a winger known for his speed, dribbling ability, and goal-scoring prowess. He contributes to his team's offensive movements with his flair and agility.","https://digitalhub.fifa.com/transform/2bad9c99-e879-44a6-84b3-4958cc703da6/1442233766?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Ko Itakura,DF,Japan,25,M'Gladbach,1997,Ko Itakura is a central defender known for his defensive attributes and aerial dominance. He provides solidity to the backline and contributes to set-piece situations.,
Koke,MF,Spain,30,Atlético Madrid,1992,"Koke is a midfielder known for his passing accuracy, playmaking abilities, and leadership on the field. He contributes to ball circulation and creating scoring opportunities.","https://digitalhub.fifa.com/transform/87132c4b-85cb-4eeb-add2-06ea6489d9ec/1442552127?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Kristijan Jakić,FW,Croatia,25,Eint Frankfurt,1997,Kristijan Jakić is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.,"https://digitalhub.fifa.com/transform/213f644e-c616-4542-b2cf-f2bf815e8e8d/1442834235?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Krystian Bielik,MF,Poland,24,Derby County,1998,Krystian Bielik is a versatile player known for his adaptability in different positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,
Krzysztof Piątek,FW,Poland,27,Salernitana,1995,Krzysztof Piątek is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,"https://digitalhub.fifa.com/transform/70c91a1c-b74b-4f5e-85e1-50d0e62fa9b7/1442527744?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Krépin Diatta,FW,Senegal,23,Monaco,1999,"Krépin Diatta is a winger known for his speed, dribbling ability, and creativity. He contributes to his team's offensive movements with his flair and agility.",
Kudus Mohammed,FW,Ghana,22,Ajax,2000,Kudus Mohammed is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.,
Kwon Chang-hoon,FW,Korea Republic,28,Sangju Sangmu,1994,"Kwon Chang-hoon is a winger known for his speed, dribbling ability, and goal-scoring prowess. He contributes to his team's offensive movements with his flair and agility.",
Kwon Kyung-won,DF,Korea Republic,30,Gamba Osaka,1992,Kwon Kyung-won is a central defender known for his defensive attributes and aerial dominance. He provides solidity to the backline and contributes to set-piece situations.,
Kye Rowles,DF,Australia,24,Hearts,1998,Kye Rowles is a central defender known for his defensive attributes and leadership qualities. He provides solidity to the backline and contributes to set-piece situations.,"https://digitalhub.fifa.com/transform/04fd32f9-273a-460b-aaa7-ce6dcbfb57b8/Australia-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Kyle Walker,DF,England,32,Manchester City,1990,"Kyle Walker is a right-back known for his defensive skills and overlapping runs. He contributes to both defense and attack, making him a valuable asset on the flanks.","https://digitalhub.fifa.com/transform/1a8e1f12-3a31-42b4-8bd2-96f315861583/1441945119?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Kylian Mbappé,FW,France,23,Paris S-G,1998,"Kylian Mbappé is a forward known for his speed, dribbling ability, and goal-scoring prowess. He contributes to his team's offensive movements with his flair and agility.","https://digitalhub.fifa.com/transform/702110ad-db19-4216-a36b-9a2903f3c77d/1442234453?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Juan Foyth,DF,Argentina,24,Villarreal,1998,Juan Foyth is a versatile player known for his adaptability in different positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,"https://digitalhub.fifa.com/transform/fd88628f-36a5-4bef-875e-fcb52581207a/1442742652?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Lawrence Ati-Zigi,GK,Ghana,26,St. Gallen,1996,Lawrence Ati-Zigi is a goalkeeper known for his shot-stopping abilities and commanding presence in the penalty area. He plays a crucial role in organizing his team's defense.,
Leander Dendoncker,DF,Belgium,27,Aston Villa,1995,Leander Dendoncker is a midfielder known for his passing accuracy and defensive contributions. He provides stability to the midfield and contributes to both defense and counter-attacks.,"https://digitalhub.fifa.com/transform/e628cf5d-ec51-449e-91b0-53b7452f33ae/1442830927?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Julián Álvarez,FW,Argentina,22,Manchester City,2000,Julián Álvarez is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,"https://digitalhub.fifa.com/transform/86f9d09d-336e-49e9-868f-78e8426d6bfb/1442743531?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Leandro Trossard,FW,Belgium,28,Brighton,1994,"Leandro Trossard is a winger known for his speed, dribbling ability, and goal-scoring prowess. He contributes to his team's offensive movements with his flair and agility.","https://digitalhub.fifa.com/transform/e0d92ec4-1309-4ae6-8a19-7c114481d23f/1442831271?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Lee Jae-sung,MF,Korea Republic,30,Mainz 05,1992,Lee Jae-sung is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.,
Lee Kangin,MF,Korea Republic,21,Mallorca,2001,"Lee Kangin is a midfielder known for his passing accuracy and creativity. He contributes to ball circulation, playmaking, and creating scoring opportunities.",
Leon Goretzka,MF,Germany,27,Bayern Munich,1995,"Leon Goretzka is a midfielder known for his passing accuracy, box-to-box capabilities, and goal-scoring prowess. He contributes to both defense and attack.","https://digitalhub.fifa.com/transform/904c2683-14bf-4b41-949c-8085e0311f85/1442304709?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Leroy Sané,FW,Germany,26,Bayern Munich,1996,"Leroy Sané is a winger known for his speed, dribbling ability, and goal-scoring prowess. He contributes to his team's offensive movements with his flair and agility.","https://digitalhub.fifa.com/transform/86c40236-5157-4399-bc1e-1948764538cc/1442303788?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Liam Millar,DF,Canada,23,Basel,1999,Liam Millar is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,
Lautaro Martínez,FW,Argentina,25,Inter,1997,Lautaro Martínez is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,"https://digitalhub.fifa.com/transform/ce6502bd-6a21-4a83-a434-9ee5da63e99e/1442742404?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Leandro Paredes,MF,Argentina,28,Juventus,1994,Leandro Paredes is a midfielder known for his passing accuracy and playmaking abilities. He contributes to ball circulation and creating scoring opportunities.,"https://digitalhub.fifa.com/transform/df4eb81d-b234-432c-a5d1-47f10fd6b844/1442742223?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Lovro Majer,MF,Croatia,24,Rennes,1998,"Lovro Majer is a midfielder known for his passing accuracy and playmaking abilities. He contributes to ball circulation, creating scoring opportunities, and delivering precise set pieces.","https://digitalhub.fifa.com/transform/0675b5e4-433c-4f61-8853-b1f02445515a/1442833911?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Loïs Openda,FW,Belgium,22,Lens,2000,Loïs Openda is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,"https://digitalhub.fifa.com/transform/29bfc313-f2ba-4b94-9bee-10e318e7449d/1442831190?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Lucas Cavallini,FW,Canada,29,Vancouver,1992,"Lucas Cavallini is a forward known for his aerial dominance, physical presence, and goal-scoring abilities. He contributes to his team's offensive movements and set-piece situations.",
Lucas Hernández,DF,France,26,Bayern Munich,1996,"Lucas Hernández is a left-back known for his defensive skills and overlapping runs. He contributes to both defense and attack, making him a valuable asset on the flanks.","https://digitalhub.fifa.com/transform/494d440f-9d6e-4f2b-b1d0-6366e0aa73bd/1442233076?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Gleison Bremer,DF,Brazil,25,Juventus,1997,Gleison Bremer is a central defender known for his defensive attributes and aerial dominance. He provides solidity to the backline and contributes to set-piece situations.,"https://digitalhub.fifa.com/transform/1406843e-640a-41a3-b43a-00602d1f5008/1443022026?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Luis Chávez,MF,Mexico,26,Pachuca,1996,Luis Chávez is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.,
Luis Suárez,FW,Uruguay,35,Nacional,1987,"Luis Suárez is a forward known for his goal-scoring abilities, movement in the box, and physical presence. He contributes to his team's offensive movements and set-piece situations.","https://digitalhub.fifa.com/transform/58017e56-34d2-4a8b-96f5-4b04ee926aab/Uruguay-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Luka Jović,FW,Serbia,24,Fiorentina,1997,Luka Jović is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,"https://digitalhub.fifa.com/transform/149f3713-f21a-471b-b822-e0038de1f191/1443091685?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Luka Modrić,MF,Croatia,37,Real Madrid,1985,"Luka Modrić is a midfielder known for his passing accuracy, playmaking abilities, and leadership on the field. He contributes to ball circulation and creating scoring opportunities.","https://digitalhub.fifa.com/transform/d67acdb0-b9a3-4bb7-a49c-8ee0c2844d55/1442835091?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Lukas Klostermann,DF,Germany,26,RB Leipzig,1996,"Lukas Klostermann is a versatile defender known for his defensive attributes, speed, and ability to contribute in both defense and attack.","https://digitalhub.fifa.com/transform/8f202e79-2bb2-4c9a-a5bb-d1630724a02b/1442304114?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Luke Shaw,DF,England,27,Manchester Utd,1995,"Luke Shaw is a left-back known for his defensive skills and overlapping runs. He contributes to both defense and attack, making him a valuable asset on the flanks.","https://digitalhub.fifa.com/transform/26b56ac4-3fe4-4e23-b632-92d8c89167cb/1441945575?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Luuk de Jong,FW,Netherlands,32,PSV Eindhoven,1990,"Luuk de Jong is a forward known for his aerial dominance, physical presence, and goal-scoring abilities. He contributes to his team's offensive movements and set-piece situations.","https://digitalhub.fifa.com/transform/7740a1ce-b34c-41b4-9f00-4e4025f9b1ca/1442170376?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Majid Hosseini,DF,IR Iran,26,Kayserispor,1996,Majid Hosseini is a central defender known for his defensive attributes and aerial dominance. He provides solidity to the backline and contributes to set-piece situations.,
Manuel Akanji,DF,Switzerland,27,Manchester City,1995,"Manuel Akanji is a central defender known for his defensive attributes, ball-playing skills, and leadership qualities. He contributes to both defense and initiating attacks.",
Manuel Neuer,GK,Germany,36,Bayern Munich,1986,"Manuel Neuer is a goalkeeper known for his exceptional shot-stopping abilities, commanding presence in the penalty area, and ability to initiate attacks with his distribution.","https://digitalhub.fifa.com/transform/a888d8b0-7696-483d-8d8c-95026122bb5c/1442303589?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Marcelo Brozović,MF,Croatia,30,Inter,1992,"Marcelo Brozović is a midfielder known for his passing accuracy, defensive contributions, and ability to control the midfield. He provides stability and ball circulation.","https://digitalhub.fifa.com/transform/ba577816-7c39-48ba-8072-c095cd6c10fd/1442835048?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Marco Asensio,FW,Spain,26,Real Madrid,1996,"Marco Asensio is a forward known for his dribbling ability, playmaking skills, and goal-scoring prowess. He contributes to his team's offensive movements with creativity and flair.","https://digitalhub.fifa.com/transform/a28c5f8b-ef3b-4fb0-9cd3-a59c0c10c8f9/1442551256?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Lionel Messi,FW,Argentina,35,Paris S-G,1987,"Lionel Messi is a forward known for his exceptional dribbling ability, playmaking skills, and goal-scoring prowess. He is considered one of the greatest footballers of all time.","https://digitalhub.fifa.com/transform/40e6d6b5-9742-4123-8fb8-d69662c3b24a/1442770580?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Marcos Llorente,DF,Spain,27,Atlético Madrid,1995,"Marcos Llorente is a midfielder known for his versatility, defensive contributions, and ability to make late runs into the box. He contributes to both defense and attack.","https://digitalhub.fifa.com/transform/bc994cd1-cfcd-4de7-ad0b-182b16a6ebd5/1442551339?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Marcus Rashford,FW,England,25,Manchester Utd,1997,"Marcus Rashford is a forward known for his speed, dribbling ability, and goal-scoring prowess. He contributes to his team's offensive movements with his flair and agility.","https://digitalhub.fifa.com/transform/49ea24b1-442f-4e87-a803-9eda83257000/1441944517?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Marcus Thuram,FW,France,25,M'Gladbach,1997,"Marcus Thuram is a forward known for his goal-scoring abilities, movement in the box, and physical presence. He contributes to his team's offensive movements and set-piece situations.","https://digitalhub.fifa.com/transform/cc1ffb08-99f8-4a04-aa07-918e6707e046/Empty-field?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Mario Götze,MF,Germany,30,Eint Frankfurt,1992,"Mario Götze is a midfielder known for his passing accuracy, playmaking abilities, and tactical intelligence. He contributes to ball circulation and creating scoring opportunities.","https://digitalhub.fifa.com/transform/f816d2a9-5071-4c24-b5bc-2d04f707eb43/1442303760?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Mario Pašalić,FW,Croatia,27,Atalanta,1995,"Mario Pašalić is a midfielder known for his passing accuracy, box-to-box capabilities, and goal-scoring prowess. He contributes to both defense and attack.","https://digitalhub.fifa.com/transform/578728a2-b038-4078-8bc9-0d221722d92b/1442834160?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Mark-Anthony Kaye,MF,Canada,28,Toronto FC,1994,"Mark-Anthony Kaye is a midfielder known for his passing accuracy, defensive contributions, and ability to control the midfield. He provides stability and ball circulation.",
Marko Grujić,MF,Serbia,26,Porto,1996,"Marko Grujić is a midfielder known for his physical presence, passing ability, and defensive contributions. He provides stability in the midfield.",
Marko Livaja,FW,Croatia,29,Hajduk Split,1993,Marko Livaja is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various leagues and competitions.,"https://digitalhub.fifa.com/transform/d1faa11c-c668-48f9-a2da-668c8a7caed3/1442834999?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Lucas Paquetá,MF,Brazil,25,West Ham,1997,"Lucas Paquetá is a midfielder known for his passing accuracy, dribbling ability, and creativity. He contributes to ball circulation, playmaking, and creating scoring opportunities.","https://digitalhub.fifa.com/transform/f7387d44-c265-4de5-b361-6e2563d7cc23/1443021748?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Marten de Roon,MF,Netherlands,31,Atalanta,1991,"Marten de Roon is a midfielder known for his passing accuracy, defensive contributions, and box-to-box capabilities. He provides stability and ball circulation.","https://digitalhub.fifa.com/transform/56a2afcc-a4d9-4f69-941f-d9fe3814d123/1442170937?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Martin Braithwaite,FW,Denmark,31,Espanyol,1991,"Martin Braithwaite is a forward known for his goal-scoring abilities, movement in the box, and physical presence. He contributes to his team's offensive movements and set-piece situations.",
Martin Hongla,MF,Cameroon,24,Hellas Verona,1998,Martin Hongla is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.,"https://digitalhub.fifa.com/transform/db48acfe-edc7-40cf-9855-b12c9d06c486/1443092904?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Marquinhos,DF,Brazil,28,Paris S-G,1994,"Marquinhos is a central defender known for his defensive attributes, leadership qualities, and ability to initiate attacks. He contributes to both defense and building from the back.","https://digitalhub.fifa.com/transform/a29ddb25-361b-4f6f-8fb3-50690cb01dbf/1443022046?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Martín Cáceres,DF,Uruguay,35,LA Galaxy,1987,Martín Cáceres is a versatile defender known for his defensive attributes and experience. He offers tactical flexibility and contributes in various defensive positions.,"https://digitalhub.fifa.com/transform/7264d53d-261e-4a6b-8982-d4ee6fd128d0/Uruguay-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Mason Mount,MF,England,23,Chelsea,1999,"Mason Mount is a midfielder known for his passing accuracy, playmaking abilities, and tactical intelligence. He contributes to ball circulation and creating scoring opportunities.","https://digitalhub.fifa.com/transform/93c9e6d8-8a8c-4300-8a89-6a9a1c4fad88/1441944419?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Mateo Kovačić,MF,Croatia,28,Chelsea,1994,"Mateo Kovačić is a midfielder known for his passing accuracy, dribbling ability, and ability to control the midfield. He contributes to ball circulation and playmaking.","https://digitalhub.fifa.com/transform/f1171d95-ce45-406c-9b58-672ab7f12a99/1442835025?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Matheus Nunes,MF,Portugal,24,Wolves,1998,Matheus Nunes is a midfielder known for his passing accuracy and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.,"https://digitalhub.fifa.com/transform/4ac1b566-1a8e-46ca-8421-f2f79875bb14/1442848590?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Mathew Leckie,MF,Australia,31,Melb City,1991,"Mathew Leckie is a forward known for his speed, dribbling ability, and goal-scoring prowess. He contributes to his team's offensive movements with his flair and agility.","https://digitalhub.fifa.com/transform/a59e2bd5-7e33-4870-a682-372fd28a4c62/Australia-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Mathew Ryan,GK,Australia,30,FC Copenhagen,1992,Mathew Ryan is a goalkeeper known for his shot-stopping abilities and commanding presence in the penalty area. He plays a crucial role in organizing his team's defense.,"https://digitalhub.fifa.com/transform/ab34d096-1c72-4fb0-bc8c-b2181a03afd8/Australia-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Mathias Jensen,MF,Denmark,26,Brentford,1996,"Mathias Jensen is a midfielder known for his passing accuracy, defensive contributions, and ability to control the midfield. He provides stability and ball circulation.",
Mathías Olivera,DF,Uruguay,25,Napoli,1997,"Mathías Olivera is a left-back known for his defensive skills and overlapping runs. He contributes to both defense and attack, making him a valuable asset on the flanks.","https://digitalhub.fifa.com/transform/e2fe8ed0-d78f-4706-9054-3833ccac319a/Uruguay-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Matt Turner,GK,United States,28,Arsenal,1994,Matt Turner is a goalkeeper known for his shot-stopping abilities and commanding presence in the penalty area. He plays a crucial role in organizing his team's defense.,"https://digitalhub.fifa.com/transform/402cd2c6-92e6-4dd6-8e1d-b5ecc10fd8c2/1441720646?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Matthias Ginter,DF,Germany,28,Freiburg,1994,Matthias Ginter is a central defender known for his defensive attributes and leadership qualities. He provides solidity to the backline and contributes to set-piece situations.,"https://digitalhub.fifa.com/transform/17a8a418-dcab-4922-9b0a-c003486c4c8f/1442304815?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Matthijs de Ligt,DF,Netherlands,23,Bayern Munich,1999,"Matthijs de Ligt is a central defender known for his defensive attributes, aerial dominance, and leadership qualities. He provides solidity and organization to the backline.","https://digitalhub.fifa.com/transform/f978cdf5-fd66-4f3d-82c1-3ea80e332cea/1442168832?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Matty Cash,DF,Poland,25,Aston Villa,1997,"Matty Cash is a right-back known for his defensive skills and overlapping runs. He contributes to both defense and attack, making him a valuable asset on the flanks.","https://digitalhub.fifa.com/transform/e7d3ff0b-4312-4378-9b91-ba541a1727de/1442525370?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Mattéo Guendouzi,MF,France,23,Marseille,1999,"Mattéo Guendouzi is a midfielder known for his passing accuracy, box-to-box capabilities, and ability to control the midfield. He provides stability and ball circulation.","https://digitalhub.fifa.com/transform/adc04136-bb1a-456d-8820-1c12bca3264c/1442233410?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Matías Vecino,MF,Uruguay,31,Lazio,1991,"Matías Vecino is a midfielder known for his passing accuracy, defensive contributions, and ability to control the midfield. He provides stability and ball circulation.","https://digitalhub.fifa.com/transform/cddad9ac-b4a1-4169-afcc-aca725102e90/Uruguay-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Matías Viña,DF,Uruguay,25,Roma,1997,"Matías Viña is a left-back known for his defensive skills and overlapping runs. He contributes to both defense and attack, making him a valuable asset on the flanks.","https://digitalhub.fifa.com/transform/9e3849d6-af10-4d8c-af1f-fdb42bb443e0/Uruguay-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Maxi Gómez,FW,Uruguay,26,Trabzonspor,1996,"Maxi Gómez is a forward known for his aerial dominance, physical presence, and goal-scoring abilities. He contributes to his team's offensive movements and set-piece situations.","https://digitalhub.fifa.com/transform/f857d691-1652-42bb-bc41-4d8a55d831d1/Uruguay-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Maya Yoshida,DF,Japan,34,Schalke 04,1988,"Maya Yoshida is a central defender known for his defensive attributes, leadership qualities, and experience. He provides solidity to the backline.",
Mehdi Taremi,FW,IR Iran,30,Porto,1992,"Mehdi Taremi is a forward known for his goal-scoring abilities, movement in the box, and physical presence. He contributes to his team's offensive movements and set-piece situations.",
Mehdi Torabi,MF,IR Iran,28,Persepolis,1994,"Mehdi Torabi is a midfielder known for his passing accuracy, dribbling ability, and creativity. He contributes to ball circulation and creating scoring opportunities.",
Memphis,FW,Netherlands,28,Barcelona,1994,"Memphis Depay is a forward known for his exceptional dribbling ability, playmaking skills, and goal-scoring prowess. He contributes to his team's offensive movements with creativity and flair.","https://digitalhub.fifa.com/transform/73919bf5-ebe2-48d4-bf20-95eb836d44d8/1442170870?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Meshaal Barsham,GK,Qatar,24,Al Sadd SC,1998,Meshaal Barsham is a goalkeeper known for his shot-stopping abilities and commanding presence in the penalty area. He plays a crucial role in organizing his team's defense.,"https://digitalhub.fifa.com/transform/f7f46288-3874-4061-8e63-def9553f3ba6/Qatar-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
